# IEEE journal matrix — copied from .briefs/seed_data/journal-matrix.csv and re-verified by Worker D
# Columns: venue,full_name,scope_keywords,page_limit_regular,abstract_word_limit,blind,overlength_fee,submission_system,supplementary_policy,impact_tier,authoritative_url
venue,full_name,scope_keywords,page_limit_regular,abstract_word_limit,blind,overlength_fee,submission_system,supplementary_policy,impact_tier,authoritative_url
TMC,IEEE Transactions on Mobile Computing,mobile;networking;edge-computing;pervasive,14,250,single,~US$220/page after Computer Society MOPC threshold,ScholarOne,allowed,A,https://www.computer.org/tmc-author-information  # Verified 2026-05-27 via <https://www.computer.org/tmc-author-information>; detailed text limited
TON,IEEE Transactions on Networking,networking;protocols;measurement,16,150-250,single,US$220/page exceeding 10,IEEE Author Portal,allowed,A,https://www.comsoc.org/publications/journals/ieee-tnet/policies-guidelines  # Verified 2026-05-27 via https://www.comsoc.org/publications/journals/ieee-tnet/policies-guidelines
TPDS,IEEE Transactions on Parallel and Distributed Systems,distributed-systems;HPC;parallel,12,250,single,~US$220/page after Computer Society MOPC threshold,ScholarOne,allowed,A,https://www.computer.org/csdl/journal/td  # Verified 2026-05-27 via <https://www.computer.org/csdl/journal/td>; detailed text limited
TMLCN,IEEE Transactions on Machine Learning in Communications and Networking,ML;networking;federated;edge-learning,未确认,未确认,single,APC US$2160; overlength 未确认,IEEE Author Portal,code/data strongly encouraged,B,https://www.comsoc.org/publications/journals/ieee-tmlcn/policies-guidelines  # Verified 2026-05-27 via https://www.comsoc.org/publications/journals/ieee-tmlcn/policies-guidelines
TWC,IEEE Transactions on Wireless Communications,wireless;5G;6G;mmWave,13,75-200,single,US$220/page exceeding 10,IEEE Author Portal,supplemental material allowed if disclosed,A,https://www.comsoc.org/publications/journals/ieee-twc/policies-guidelines  # Verified 2026-05-27 via https://www.comsoc.org/publications/journals/ieee-twc/policies-guidelines
TCOM,IEEE Transactions on Communications,communications;coding;modulation,未确认,未确认,single,US$220/page exceeding 10,IEEE Author Portal,未确认,A,https://www.comsoc.org/publications/journals/ieee-tcom/policies-and-guidelines  # Verified 2026-05-27 via https://www.comsoc.org/publications/journals/ieee-tcom/policies-and-guidelines
TSP,IEEE Transactions on Signal Processing,signal-processing;estimation;learning,13,200,single,~US$220/page after page 10,ScholarOne,allowed,A,https://signalprocessingsociety.org/publications-resources/ieee-transactions-signal-processing  # Verified 2026-05-27 via <https://signalprocessingsociety.org/publications-resources/ieee-transactions-signal-processing>; fee fields from seed
TPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,CV;ML;PAMI,18,200,single,~US$220/page after Computer Society MOPC threshold,ScholarOne,allowed,A+,https://www.computer.org/csdl/journal/tp  # Verified 2026-05-27 via <https://www.computer.org/csdl/journal/tp>; detailed text limited
TAC,IEEE Transactions on Automatic Control,control-theory;optimization,12,未确认,single,US$125/page for pages 13-16,PaperPlaza,allowed,A,https://www.ieeecss.org/publication/transactions-automatic-control  # Verified 2026-05-27 via https://www.ieeecss.org/publication/transactions-automatic-control
TVT,IEEE Transactions on Vehicular Technology,vehicular;wireless;V2X;connected-vehicles,14,未确认,single,US$220/page exceeding 10,IEEE Author Portal,allowed,B,https://vtsociety.org/publication/ieee-transactions-vehicular-technology/guidelines-authors/instructions  # Verified 2026-05-27 via https://vtsociety.org/publication/ieee-transactions-vehicular-technology/guidelines-authors/instructions
TII,IEEE Transactions on Industrial Informatics,industrial-AI;IoT;manufacturing;industrial-informatics,10,未确认,double,US$250/page from page 11; US$200/page for IES members,IEEE Author Portal,allowed,A,https://www.ieee-ies.org/pubs/transactions-on-industrial-informatics  # Verified 2026-05-27 via <https://www.ieee-ies.org/pubs/transactions-on-industrial-informatics>; page requires JavaScript but official search extract exposed policy text
TAccess,IEEE Access,multidisciplinary;open-access,unlimited,250,single,APC applies; overlength fee not found,IEEE Author Portal,allowed,B (OA flagship),https://ieeeaccess.ieee.org/  # Verified 2026-05-27 via <https://ieeeaccess.ieee.org/>
